Manjeshwar,237875,7,8.3,"Manjeshwar, Manjeswaram, Kasaragod district, Kerala, 574156, India",12.7193588,74.8861095
Pavoor,4798,2,6.1,"Pavoor, Vorkady, Manjeswaram, Kasaragod district, Kerala, India",12.7578254,74.90980647942887
Vorkady,8787,10,3.0,"Vorkady, Taudugoli, Manjeswaram, Kasaragod district, Kerala, India",12.76129015,74.95314681728178
Pathur,6383,10,1.5,"Pathur, Kudavasal, Thiruvarur District, Tamil Nadu, 613702, India",10.7816249,79.4842804
Kodalamogaru,5788,6,0.9,"Kodlamogaru, Manjeswaram, Kasaragod district, Kerala, India",12.7509267,74.9642494
Koliyoor,2743,16,10.1,"VCB at Koliyoor-Renjagudi, Manjeswaram, Kasaragod district, Kerala, 671323, India",12.7354108,74.9592244
Kaliyoor,2323,11,7.2,"kaliyoor busstop, Vedivachan Koil to Vellayani, Mukaloormoola, Thiruvananthapuram, Kerala, 695001, India",8.4321369,77.0167049
Meenja,4144,14,8.4,"Meenja, Manjeswaram, Kasaragod district, Kerala, 671323, India",12.7159433,74.9522495
Kadambar,2616,5,0.8,"Kadambar, Morathana, Manjeswaram, Kasaragod district, Kerala, India",12.725126750000001,74.93850066292049
Moodambail,4779,14,13.5,"Government High School Moodambail, LR, Meenja, Manjeswaram, Kasaragod district, Kerala, 671323, India",12.691699400000001,74.92010190646468
Kuloor,3381,13,10.2,"Kuloor, Mangaluru taluk, Dakshina Kannada district, Karnataka, 575010, India",12.9230007,74.831304
Badaje,8170,16,7.8,"Badaje, Manjeshwar, Manjeswaram, Kasaragod district, Kerala, India",12.7243994,74.90029397867366
Mulinja,3841,5,4.6,"Mulinja, Santhwadi, Manjeswaram, Kasaragod district, Kerala, India",12.68647015,74.91594742093727
Kodibail,3614,11,15.0,"NA Lower Primary School, Kodibail, LR, Mulinja SC Colony, Uppala, Manjeswaram, Kasaragod district, Kerala, 671322, India",12.6720543,74.9167334
Ichilangod,4148,14,6.2,"IA Lower Primary School, Ichilangod, LR, Water Tank SC Colony, Manjeswaram, Kasaragod district, Kerala, 671324, India",12.6368644,74.9507242
Heroor,3195,11,9.6,"Government Boys Lower Primary School, Heroor, LR, Chinnamugar, Manjeswaram, Kasaragod district, Kerala, 671324, India",12.6389125,74.9709965
Kubanoor,2178,4,0.0,"Kubanoor, Bekoor, Manjeswaram, Kasaragod district, Kerala, 671332, India",12.667236500000001,74.94539477787728
Bekoor,1856,18,14.9,"Bekoor, Manjeswaram, Kasaragod district, Kerala, 671332, India",12.6700436,74.9357444
Kayyar,4268,6,11.0,"Kayyar, Kandal, Manjeswaram, Kasaragod district, Kerala, India",12.6698743,74.9662480600428
Kudalmarkala,7081,1,9.2,"Kudalmarkala, Manjeswaram, Kasaragod district, Kerala, 671348, India",12.6572878,75.0133998
Paivalike,9034,16,14.3,"Paivalike, Manjeswaram, Kasaragod district, Kerala, 671348, India",12.6872552,74.9869627
Chippar,2834,12,4.3,"Chippar, Paivalike, Manjeswaram, Kasaragod district, Kerala, India",12.7074214,75.00040169294985
Bayar,11057,5,1.8,"Bayar, Siverek, Şanlıurfa, Güneydoğu Anadolu Bölgesi, Türkiye",37.6914464,39.367417
Badoor,5536,7,11.1,"Badoor, Delampady, Manjeswaram, Kasaragod district, Kerala, India",12.64321725,75.02589396275292
Angadimogaru,2552,7,1.9,"Government Higher Secondary School, Angadimogaru, panchayath road, Puthige, Manjeswaram, Kasaragod district, Kerala, 671321, India",12.63504505,75.01469375348746
Mugu,2951,9,12.1,"मुगु, Mugum Karmarong, मुगु, Karnali Pradesh, नेपाल",29.7895075,82.54989664149778
Maire,5080,13,10.1,"Mairé, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86270, France",46.8582921,0.7493703
Enmakaje,12697,20,9.0,"Enmakaje, Manjeswaram, Kasaragod district, Kerala, 671552, India",12.6620916,75.0882697
Padre,5092,3,12.2,"Padre, Autazes, Região Geográfica Imediata de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, Brasil",-3.7444474,-59.1949388
Badiyadka,10694,15,11.7,"Badiadka, Kasaragod, Kasaragod district, Kerala, 671551, India",12.5887582,75.0729575
Bela,11144,6,2.4,"Bela, Kamnik, Upravna Enota Kamnik, 1221, Slovenija",46.2233376,14.8601035
Puthige,5441,1,4.8,"Puthige, Manjeswaram, Kasaragod district, Kerala, India",12.623750000000001,75.00660212706035
Edanad,2922,4,9.1,"Edanad, Puthencavu, Chengannur, Alappuzha, Kerala, India",9.3343624,76.63533314837971
Kannur,2421,13,6.5,"Kannur, Kannur district, Kerala, India",11.8763836,75.3737973
Kidoor,2569,14,1.4,"Government Lower Primary School, Kidoor, LR, Chinnamugar, Manjeswaram, Kasaragod district, Kerala, 671321, India",12.6355319,74.98439781092375
Bombrana,3759,8,13.2,"Government Boys Lower Primary School, Bombrana, LR, Arikady, Manjeswaram, Kasaragod district, Kerala, 671321, India",12.62120075,74.9476642364391
Arikady,8001,4,2.8,"Arikady, Manjeswaram, Kasaragod district, Kerala, India",12.60731185,74.94189578493085
Ichilampady,4001,16,1.7,"Ichilampady, Kumbala, Manjeswaram, Kasaragod district, Kerala, India",12.60514505,74.96783202884497
Ubrangala,3611,11,6.8,"Ubrangala, Kumbadaje, Kasaragod, Kasaragod district, Kerala, India",12.5787417,75.10285681324157
Kumbadaje,11161,15,5.4,"Kumbadaje, Kasaragod, Kasaragod district, Kerala, 671543, India",12.5861461,75.1161217
Nettanige,6305,9,3.0,"Family Welfare Centre, Nettanige, LR, Baje FC Colony, Kasaragod, Kasaragod district, Kerala, 574259, India",12.60218505,75.17542724172989
Bellur,3936,15,11.8,"Bellur, Kolar taluk, Kolar district, Karnataka, 563133, India",13.1373251,77.9918549
Kasaragod,208968,17,13.1,"Kasaragod, Kasaragod district, Kerala, 671121, India",12.5035577,74.9907022
Patla,5481,8,6.7,"Patla, Jopala, Puebla, México",20.2483904,-97.8526516
Kalnad,18029,3,9.1,"Primary Health Centre, Kalanad, Kalnad, LR, Melparamba, Kasaragod, Kasaragod district, Kerala, 671317, India",12.46095935,75.00208370029486
Perumbala,8096,17,13.9,"Perumbala, Panalam, Kasaragod, Kasaragod district, Kerala, India",12.4993686,75.0247261627907
Thekkil,14299,17,8.6,"thekkil, Kulanada-Omalloor Road, Panangadu, Kulanada, Kozhenchery, Pathanamthitta, Kerala, 689503, India",9.2335491,76.72345803881404
Muttathody,20658,18,8.8,"Muttathody Service Cooperative Bank LTD, Kasargod-Kannur-Calicut Highway, Jounalist Colony, Anebagilu, Panalam, Kasaragod, Kasaragod district, Kerala, 671123, India",12.5150687,75.0241327
Pady,8016,15,10.3,"Пады, Октябрьское сельское поселение, Балашовский район, Саратовская область, Приволжский федеральный округ, Россия",51.720459,43.2584782
Nekraje,12519,6,9.5,"Battyamoly Nekraje Road, Chedikana Colony, Badiadka, Kasaragod, Kasaragod district, Kerala, 671551, India",12.5635461,75.072273
Payyannur,179741,5,14.3,"Payyannur, Kavvayi, Payyannur Taluk, Kannur district, Kerala, 670307, India",12.11875635,75.23738056286618
Ramanthali,25711,2,14.0,"Ramanthali, Payyannur Taluk, Kannur district, Kerala, 670308, India",12.0604398,75.1903534
Peralam,7607,11,7.5,"Peralam, Payyannur Taluk, Kannur district, Kerala, 670522, India",12.17847,75.216415
Kankole,10665,19,4.7,"Kankole, Munipally mandal, Sangareddy, Telangana, India",17.6444533,77.8084961
Alapadamba,8660,13,8.9,"Krishibhavan Kankole Alapadamba, LR, Mathil, Payyannur Taluk, Kannur district, Kerala, 670337, India",12.1749334,75.2472616
Eramam,9448,1,11.7,"Eramam 3 cent, Edayar, Paravur, Ernakulam district, Kerala, 683117, India",10.0932038,76.3116701
Perinthatta,5416,20,7.4,"Perinthatta North, Kannadipoyil, Payyannur Taluk, Kannur district, Kerala, India",12.18691425,75.3000945304452
Kuttoor,8143,12,8.6,"Kuttoor, Thiruvalla, Pathanamthitta, Kerala, 689106, India",9.3587884,76.5881013
Vellora,10239,3,8.7,"Vellora, Payyannur Taluk, Kannur district, Kerala, India",12.176418,75.359863
Peringome,16721,19,3.7,"Peringome, Payyannur Taluk, Kannur district, Kerala, 670353, India",12.2254409,75.3145194
Vayakkara,18687,1,9.1,"Vayakkara, Payyannur Taluk, Kannur district, Kerala, 670353, India",12.2487597,75.317502
Pulingome,10672,8,1.1,"Pulingome, Cherupuzha, Payyannur Taluk, Kannur district, Kerala, India",12.28385005,75.38887565903146
Thirumeni,8611,20,11.8,"Thirumeni, Payyannur Taluk, Kannur district, Kerala, 670354, India",12.2509108,75.4196737
Panapuzha,11355,4,2.8,"panapuzha thod, Koyipra, Payyannur Taluk, Kannur district, Kerala, 670306, India",12.1418382,75.3403925
Mattool,27806,15,12.2,"Mattool, Mattul, Kalliasseri Block, Kannur, Kannur district, Kerala, 670302, India",11.9751347,75.28439076655543
Taliparamba,187567,10,12.5,"Taliparamba, Kannur district, Kerala, India",12.0994756,75.47057356867221
Thimiri,18044,16,3.4,"Thimiri, Arcot, Ranipet District, Tamil Nadu, 632512, India",12.8283329,79.3076908
Alakode,33173,12,2.3,"Alakode, Taliparamba, Kannur district, Kerala, 670571, India",12.191555,75.4671357
Vellad,25875,13,0.5,"Vellad, Taliparamba, Kannur district, Kerala, 670582, India",12.1457708,75.5057376
Kooveri,19033,15,1.4,"Kooveri, Elemperam, Taliparamba, Kannur district, Kerala, India",12.1089001,75.39740261395497
Panniyoor,12382,15,3.7,"Panniyoor Chira, Potayammal Colony, Kumbidi, Pattambi, Palakkad, Kerala, India",10.8280028,76.05476974856367
Kuttiyeri,12473,7,14.0,"Kuttiyeri, Kutyeri, Taliparamba, Kannur district, Kerala, India",12.07187265,75.35472687946535
Pattuvam,15659,15,10.7,"Pattuvam, Taliparamba, Kannur district, Kerala, 670143, India",12.026781,75.309091
Chuzhali,14759,9,1.3,"Chuzhali, Chuzhali Colony, Tirurangadi, Malappuram, Kerala, India",11.0471535,75.88033558967611
Chengalai,15800,1,13.1,"Chengalai, Taliparamba, Kannur district, Kerala, 670631, India",12.0432625,75.4898961
Irikkur,159443,13,10.1,"Irikkur, Taliparamba, Kannur district, Kerala, India",12.1233866,75.54319582096124
Nediyanga,15859,7,10.3,"Nediyanga, Sreekandapuram Chempanthotty Naduvil Road, Sreekandapuram, Taliparamba, Kannur district, Kerala, 670631, India",12.0750373,75.5004614
